name=BMP380 Barometer vendor=Bosch current_time_ms=1562661887298
measured_at recorded_at accuracy value
185892414425070 185892416816548 3 1012.96954
185892454424861 185892455792334 3 1012.9641
185892494449861 185892495756660 3 1012.95935
185892534427465 185892535728227 3 1012.9898
185892574427101 185892575828439 3 1012.97424
185892614425122 185892616642350 3 1012.9563
185892654453768 185892657111624 3 1012.9692
185892694465226 185892696897462 3 1012.96216
185892734464132 185892735983299 3 1012.9486
185892774466788 185892775810959 3 1012.946
185892814474189 185892815993203 3 1012.95935
185892854431689 185892855819457 3 1012.9665
185892894476532 185892896490294 3 1012.97394
185892934435178 185892936161392 3 1012.9976
185892974470751 185892975870719 3 1012.9637
185893014433980 185893016053952 3 1012.9457
185893054434189 185893056001248 3 1012.98425
185893094474397 185893096410054 3 1012.98444
185893134474449 185893137024433 3 1012.93823
185893174477782 185893177328395 3 1012.98425
185893214484032 185893216683816 3 1012.97394
185893254475959 185893256411267 3 1012.91504
185893294478564 185893296418199 3 1012.92584
185893334477834 185893336977526 3 1012.9279
185893374427574 185893376302477 3 1012.9457
185893414433512 185893415836179 3 1012.95337
185893454433251 185893456044569 3 1012.95526
185893494434709 185893496480458 3 1012.95795
185893534478824 185893537498379 3 1012.95306
185893574471845 185893577341404 3 1012.9454
185893614472626 185893617122449 3 1012.9609
185893654454970 185893656691047 3 1012.9321
185893694457782 185893696167822 3 1012.95496
185893734460647 185893736595430 3 1012.963
185893774433407 185893776162153 3 1012.95044
185893814432053 185893816756167 3 1012.9733
185893854432626 185893855815077 3 1012.95
185893894435491 185893896291852 3 1012.95526
185893934432366 185893937250242 3 1012.95496
185893974432991 185893978512069 3 1012.96814
185894014434657 185894016944156 3 1012.95557
185894054431012 185894058515306 3 1012.98816
185894094433980 185894097726455 3 1012.93463
185894134456220 185894135861147 3 1012.945
185894174459866 185894175892297 3 1012.9702
185894214460387 185894215941467 3 1012.9599
185894254431168 185894255904075 3 1012.9702
185894294433407 185894295842986 3 1012.9594
185894334436480 185894336005073 3 1012.965
185894374431845 185894376908254 3 1012.9624
185894414465334 185894416787633 3 1012.95215
185894454459345 185894456681335 3 1012.9599
185894494457262 185894495881756 3 1012.9753
185894534459084 185894535911343 3 1013.0213
185894574457001 185894575898118 3 1013.011
185894614461428 185894615883174 3 1013.0083
185894654452834 185894655995157 3 1012.9834
185894694461220 185894695847765 3 1012.99384
185894734458772 185894735871102 3 1012.9823
185894774433199 185894775695846 3 1012.95215
185894814431532 185894816266892 3 1012.9569
185894854460387 185894856712052 3 1012.9862
185894894457001 185894897056066 3 1012.9333
185894934434970 185894937107581 3 1012.94104
185894974461897 185894976291387 3 1012.9672
185895014433251 185895015843318 3 1012.9462
185895054433355 185895057359259 3 1012.9823
185895094466168 185895096574940 3 1012.98517
185895134433772 185895136399267 3 1012.97174
185895174434241 185895176004167 3 1012.9846
185895214434553 185895216412921 3 1012.9569
185895254432834 185895257773759 3 1012.9723
185895294472939 185895297136835 3 1012.9741
185895334478043 185895337758506 3 1012.97174
185895374468980 185895377307416 3 1012.95905
185895414469189 185895416788514 3 1012.97174
185895454467626 185895456475185 3 1012.9723
185895494431428 185895496415814 3 1012.95135
185895534435387 185895536647328 3 1012.9539
185895574434709 185895576059207 3 1012.9518
185895614433616 185895616809419 3 1012.96356
185895654428876 185895657933798 3 1012.9521
185895694434084 185895697432396 3 1012.9723
185895734433824 185895738320942 3 1012.9792
185895774504866 185895776008550 3 1012.95325
185895814476012 185895816410741 3 1012.96606
185895854475178 185895856105901 3 1012.9893
185895894474970 185895896132885 3 1012.9966
185895934473616 185895936063201 3 1012.9945
185895974478616 185895975981538 3 1012.9611
185896014430647 185896016291334 3 1012.9791
185896054432053 185896056018838 3 1012.9511
185896094432105 185896096214519 3 1012.95325
185896134433251 185896138129784 3 1012.97833
185896174474189 185896177442548 3 1012.9558
185896214473928 185896217203750 3 1012.9706
185896254478824 185896256029587 3 1012.96326
185896294474709 185896295859695 3 1012.9558
185896334474449 185896335987720 3 1012.96606
185896374481689 185896376011839 3 1012.9688
185896414460959 185896418031843 3 1012.9583
185896454465334 185896456385649 3 1012.968
185896494432626 185896496436122 3 1012.9739
185896534435022 185896535876803 3 1012.9628
185896574432522 185896577735817 3 1012.9631
185896614483512 185896617008686 3 1012.9327
185896654465855 185896657187492 3 1012.9683
185896694476793 185896697289631 3 1012.97565
185896734476012 185896736611041 3 1012.9348
185896774475959 185896776533129 3 1012.97284
185896814471845 185896816642664 3 1012.9708
185896854472626 185896856471991 3 1012.958
185896894464241 185896896591786 3 1012.96027
185896934437782 185896936167363 3 1013.0044
185896974435282 185896976597003 3 1012.9708
185897014432834 185897016956173 3 1012.9606
185897054495439 185897056945240 3 1013.00604
185897094431949 185897097856702 3 1012.9912
185897134432574 185897136568581 3 1012.98346
185897174487678 185897180427960 3 1013.01666
185897214450126 185897216861454 3 1012.98315
185897254449032 185897257212812 3 1012.98315
185897294433824 185897296986305 3 1012.96747
185897334438043 185897336736101 3 1012.9983
185897374432730 185897375872824 3 1012.9983
185897414434814 185897416001578 3 1012.9909
185897454431689 185897456909915 3 1012.9909
185897494461428 185897497061273 3 1012.9937
185897534482001 185897539051225 3 1012.9782
185897574499137 185897575984302 3 1012.988
185897614473616 185897616139566 3 1012.9881
185897654454918 185897655880716 3 1012.9906
185897694458043 185897695872126 3 1012.98035
185897734459345 185897735854266 3 1012.97253
185897774431428 185897775843280 3 1012.9803
185897814431532 185897815779534 3 1012.9778
185897854432157 185897855981257 3 1012.9752
185897894430595 185897896970011 3 1012.9806
185897934461116 185897936786421 3 1012.9752
185897974462730 185897976895436 3 1012.9752
185898014461428 185898017331690 3 1012.9829
185898054463251 185898056405860 3 1013.00354
185898094460907 185898096410448 3 1012.99286
185898134436428 185898136250191 3 1013.013
185898174454605 185898176543737 3 1012.99536
185898214430647 185898216342178 3 1013.0113
185898254431949 185898256678276 3 1012.9769
185898294431376 185898296020415 3 1012.95917
185898334431793 185898336455992 3 1012.9718
185898374464762 185898376374121 3 1012.93604
185898414463251 185898417253813 3 1012.9795
185898454460907 185898457478296 3 1012.95917
185898494465074 185898496298717 3 1012.97217
185898534454345 185898536358356 3 1012.9818
185898574435022 185898576432579 3 1012.9494
185898614455126 185898617601385 3 1012.9567
185898654432157 185898656578316 3 1012.96747
185898694435595 185898696834466 3 1012.9614
185898734436168 185898736968376 3 1012.9638
185898774434084 185898777020567 3 1012.9741
185898814431428 185898817291821 3 1012.95886
185898854431428 185898858267711 3 1012.95886
185898894435334 185898898351205 3 1012.9821
185898934433407 185898938784646 3 1012.9616
185898974497053 185898975974129 3 1012.94385
185899014475491 185899016185487 3 1012.94385
185899054476793 185899056084918 3 1012.9641
185899094457574 185899095961693 3 1012.961
185899134428303 185899135767530 3 1012.93066
185899174431689 185899175833941 3 1012.9464
185899214442105 185899216636288 3 1012.9487
185899254482991 185899256552751 3 1012.9586
185899294432209 185899296503640 3 1012.9924
185899334433772 185899340050155 3 1012.9736
185899374475959 185899377146877 3 1012.9761
185899414478564 185899416162871 3 1012.9889
185899454479084 185899456113552 3 1012.986
185899494485074 185899496042722 3 1012.9761
185899534432834 185899536500174 3 1012.9864
185899574431949 185899576198668 3 1012.9455
185899614436532 185899616727734 3 1012.9761
185899654445334 185899656705395 3 1013.01465
185899694474397 185899696901544 3 1012.98645
