name=AzimuthSensor vendor=Kyle current_time_ms=1561445543718
m_t m_x m_y m_z a_t a_x a_y a_z g_t g_x g_y g_z direction_degrees
281254471 0 -45.348343 -72.99029 -140.5462 0 0.31858703 2.393902 9.409839 0 -0.061791457 -0.10246366 -0.39308518 131.3871307990094
281254503 0 -45.22401 -72.64328 -140.63708 0 0.37494358 2.3721435 9.443373 0 -0.06776449 -0.10856914 -0.43612802 132.11655402123176
281254537 0 -45.093735 -72.20839 -140.76602 0 0.4311639 2.3346934 9.47476 0 -0.07084695 -0.11431392 -0.4809217 132.97952110210616
281254570 0 -44.98022 -71.8293 -140.88959 0 0.45424908 2.31604 9.489689 0 -0.07388839 -0.119824685 -0.52300197 133.26413508482062
281254603 0 -44.891144 -71.44142 -141.0008 0 0.4586093 2.3012905 9.507009 0 -0.07590074 -0.13050319 -0.5782553 133.28581410524623
281254636 0 -44.809006 -71.012344 -141.10204 0 0.4756475 2.3007233 9.515829 0 -0.06883225 -0.14122392 -0.61894375 133.2101082884858
281254669 0 -44.695557 -70.3742 -141.28114 0 0.5262223 2.3033183 9.54012 0 -0.06039715 -0.15278342 -0.6583204 133.34548263783546
281254701 0 -44.6277 -69.85046 -141.42099 0 0.58857405 2.292714 9.57129 0 -0.0520889 -0.16649413 -0.701038 133.8694810905805
281254735 0 -44.571484 -69.35898 -141.56807 0 0.6539845 2.2630382 9.600856 0 -0.03409418 -0.18656854 -0.7644536 134.7050591128832
281254768 0 -44.54867 -68.82502 -141.68204 0 0.71969336 2.2324648 9.606202 0 -0.016643412 -0.19769505 -0.814408 135.47025886597805
281254800 0 -44.56005 -68.446556 -141.75818 0 0.74703336 2.2062793 9.616713 0 -0.0037198039 -0.20364319 -0.8482145 135.8380508924049
281254833 0 -44.580486 -67.56327 -141.97157 0 0.7546994 2.130746 9.651907 0 0.013393161 -0.22617856 -0.9313221 136.20684012645057
281254867 0 -44.602745 -66.9663 -142.07823 0 0.71063054 2.0596573 9.683747 0 0.013177918 -0.23790054 -0.97340596 136.1073515910001
281254899 0 -44.690372 -66.15896 -142.22018 0 0.6080385 1.9789186 9.646002 0 0.018035576 -0.25100163 -1.0134764 135.1000352922067
281254933 0 -44.78973 -65.54001 -142.39024 0 0.53135884 1.9419547 9.564308 0 0.030873666 -0.2638084 -1.0496045 133.94622509609474
281254965 0 -44.930946 -64.9312 -142.54555 0 0.45926806 1.9260452 9.511464 0 0.036412388 -0.27593514 -1.0874026 132.63286168097136
281254998 0 -45.09275 -64.29278 -142.71628 0 0.40089357 1.911461 9.528862 0 0.025261927 -0.28598902 -1.1135218 131.57731058625927
281255032 0 -45.34739 -63.404427 -142.96442 0 0.35660082 1.8536493 9.605553 0 0.00630349 -0.29455158 -1.141106 131.08485394710135
281255065 0 -45.584282 -62.683117 -143.1718 0 0.3336972 1.7957741 9.651053 0 -0.0074139955 -0.29895264 -1.1705319 130.90136774523808
281255097 0 -45.841812 -61.966427 -143.36453 0 0.29612985 1.7711642 9.651016 0 -0.008719011 -0.2981919 -1.2059419 130.06749727022793
281255131 0 -46.210228 -61.04519 -143.6419 0 0.23869435 1.7688498 9.648794 0 -0.016739499 -0.29416624 -1.2274657 128.52722131049836
281255164 0 -46.500057 -60.333702 -143.86621 0 0.15302794 1.755621 9.6700325 0 -0.033581633 -0.2930552 -1.2460581 127.18032166655019
281255196 0 -46.81393 -59.57751 -144.05055 0 0.08658953 1.7416714 9.675249 0 -0.043091275 -0.2880999 -1.2577659 125.97346822134392
281255230 0 -47.244038 -58.584484 -144.3022 0 0.0046825185 1.7472897 9.679736 0 -0.04550045 -0.27354228 -1.2608076 124.16292167615694
281255263 0 -47.595886 -57.88919 -144.49991 0 -0.08344028 1.7606058 9.679423 0 -0.048655137 -0.2658825 -1.2590628 122.54729506950378
281255296 0 -47.97291 -57.172443 -144.67177 0 -0.17572714 1.7745422 9.669233 0 -0.048202284 -0.2586497 -1.2531064 120.90412914011716
281255329 0 -48.317978 -56.470936 -144.86475 0 -0.22736771 1.779423 9.663335 0 -0.04291395 -0.24768703 -1.2386314 119.72264301748834
281255362 0 -48.806664 -55.616753 -145.03629 0 -0.27382356 1.7840133 9.665771 0 -0.036261503 -0.2328166 -1.2107553 118.4340868494304
281255395 0 -49.17152 -54.973427 -145.18983 0 -0.32032272 1.7896781 9.668502 0 -0.030340018 -0.22230479 -1.1836617 117.39029734046909
281255428 0 -49.544956 -54.390194 -145.34589 0 -0.3881295 1.8120887 9.684368 0 -0.021221058 -0.21071808 -1.1494614 116.128693098876
281255461 0 -49.899967 -53.801533 -145.49687 0 -0.44588605 1.8341528 9.720544 0 -0.016884629 -0.19346254 -1.0970457 115.01586403778418
281255494 0 -50.37481 -53.106705 -145.66248 0 -0.48489517 1.8496373 9.744988 0 -0.016088981 -0.18561707 -1.057423 113.93655071494959
281255527 0 -50.700386 -52.603703 -145.80215 0 -0.5022702 1.8514627 9.720449 0 -0.0066938144 -0.17930315 -1.0145192 113.22563047518884
281255560 0 -51.039833 -52.155758 -145.92877 0 -0.490822 1.8599586 9.652113 0 0.0062437607 -0.17100413 -0.9659873 112.48277227086908
